,Los Angeles,San Francisco,San Diego,Las Vegas,Phoenix,Seattle,Denver,Miami,New York,Chicago,Boston,Washington DC
1992-05-01,90.86829045145,69.729028078968,80.451807716495,83.211338184888,66.144019789787,67.296741432862,53.798917034751,79.659299421176,75.151596794782,73.419645392338,64.351090305386,88.981015897805
1992-06-01,90.166354772597,69.488896994116,79.914573322156,83.13142393756,66.13144627989,67.317627731962,53.947765820591,79.78796918993,75.056733825086,74.13148230411,64.147331444049,88.869001639292
1992-07-01,89.488158894252,69.272296933188,79.57095530378,82.766510798662,66.096228503721,67.319755183292,54.137494689613,78.059150215419,74.963974260055,74.900438996274,63.940288865897,88.500412551788
1992-08-01,88.928163697592,68.962557682595,79.267707492291,82.399312831067,66.168509453468,67.112134412596,54.393270644796,77.819686721499,75.10610663539,74.978006341051,63.966683788035,88.482197227461
1992-09-01,88.31917895943,68.805481403286,79.036472365035,82.47270589754,66.24074249023,66.897342775832,54.715963830769,77.45863857925,75.085899319773,75.234983548903,63.904673928442,88.405755509519
1992-10-01,87.357473840715,68.827788540346,78.155312184552,82.959150787508,66.433046751568,67.429669153123,54.816603622324,79.334934722585,75.052895301649,75.545505439162,64.030072725044,88.591012565261
1992-11-01,86.642983711575,68.74531671925,77.924294300478,83.307226340128,66.495500799311,67.591205597296,55.24260324458,79.50046883336,75.193152219058,75.910743673766,64.033289634589,88.671207164109
1992-12-01,85.815592878235,68.583940827304,77.483536642613,82.892905506394,66.680289774515,67.850245183886,55.599695773995,79.846259109272,75.401211162707,75.848620240965,64.468249445306,88.812353258711
1993-01-01,85.246295188478,68.450963787866,77.652832499009,82.564648199372,66.872847716268,68.208416828665,56.127034746526,79.851250909066,75.740987269896,76.011974265424,64.861494848463,89.065117790057
1993-02-01,84.660704673097,68.29010068161,76.991263521795,83.008771390112,67.022274593254,68.64578967657,56.432683580732,80.042719874804,75.887380715768,76.008640130312,64.949814242107,89.279574126772
1993-03-01,83.616114768195,68.065505641609,76.620608559896,83.201027633669,67.367357135996,68.787063585699,56.95378694319,80.019726147497,75.987702851464,76.215453658693,64.823541633916,89.438541118548
1993-04-01,82.79206094128,67.991240829272,75.910941693942,82.79883295042,67.526827642672,68.288655411544,57.147277150246,80.330492467144,76.068588700716,76.324601271516,64.70848633081,88.941327000805
1993-05-01,82.042899043265,67.761870348864,75.546371854043,81.961209842704,67.851772111279,67.864609421788,57.565075957408,80.957980497886,76.143127402732,76.692507039792,64.83481835626,88.481882772683
1993-06-01,81.42818087496,67.473263100901,75.051297121338,81.919559885568,67.98978857639,67.577121222505,58.179876597244,81.348781338838,76.330199924209,77.293236726446,65.145055508797,88.649592405138
1993-07-01,80.566796072515,66.931306383552,74.486656204491,81.992969483601,68.295774713549,67.546801682055,58.809817471967,81.797619900499,76.316949817936,77.548808388678,65.518291149297,88.817754395364
